id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes,image_url,video_url
10,Homer's Night Out,1990-03-25,7G10,1,10,10,30.3,50816,7.4,1511,http://static-media.fxx.com/img/FX_Networks_-_FXX/305/815/Simpsons_01_10.jpg,http://www.simpsonsworld.com/video/275197507879
12,Krusty Gets Busted,1990-04-29,7G12,1,12,12,30.4,62561,8.3,1716,http://static-media.fxx.com/img/FX_Networks_-_FXX/245/843/Simpsons_01_12.jpg,http://www.simpsonsworld.com/video/288019523914
14,Bart Gets an "F",1990-10-11,7F03,2,1,14,33.6,59575,8.2,1638,http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/bart_gets_F.jpg,http://www.simpsonsworld.com/video/260539459671
17,Two Cars in Every Garage and Three Eyes on Every Fish,1990-11-01,7F01,2,4,17,26.1,64959,8.1,1457,http://static-media.fxx.com/img/FX_Networks_-_FXX/660/859/Simpsons_02_01.jpg,http://www.simpsonsworld.com/video/260537411822
19,Dead Putting Society,1990-11-15,7F08,2,6,19,25.4,50691,8,1366,http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_08.jpg,http://www.simpsonsworld.com/video/260539459670
21,Bart the Daredevil,1990-12-06,7F06,2,8,21,26.2,57605,8.4,1522,http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/Simpsons_02_06.jpg,http://www.simpsonsworld.com/video/260539459702
23,Bart Gets Hit by a Car,1991-01-10,7F10,2,10,23,24.8,56486,7.8,1340,http://static-media.fxx.com/img/FX_Networks_-_FXX/673/547/bart_gets_hit_by_car.jpg,http://www.simpsonsworld.com/video/260550723760
26,Homer vs. Lisa and the 8th Commandment,1991-02-07,7F13,2,13,26,26.2,58277,8,1329,http://static-media.fxx.com/img/FX_Networks_-_FXX/930/879/Simpsons_02_13.jpg,http://www.simpsonsworld.com/video/260820547692
28,"Oh Brother, Where Art Thou?",1991-02-21,7F16,2,15,28,26.8,47426,8.2,1413,http://static-media.fxx.com/img/FX_Networks_-_FXX/372/934/Simpsons_02_16.jpg,http://www.simpsonsworld.com/video/272046659561
30,Old Money,1991-03-28,7F17,2,17,30,21.2,44331,7.6,1243,http://static-media.fxx.com/img/FX_Networks_-_FXX/418/939/old_money.jpg,http://www.simpsonsworld.com/video/263504963955
32,Lisa's Substitute,1991-04-25,7F19,2,19,32,17.7,52770,8.5,1684,http://static-media.fxx.com/img/FX_Networks_-_FXX/238/11/Simpsons_02_19.jpg,http://www.simpsonsworld.com/video/288011331912
35,Blood Feud,1991-07-11,7F22,2,22,35,17.3,52829,8,1223,http://static-media.fxx.com/img/FX_Networks_-_FXX/368/31/Simpsons_02_22.jpg,http://www.simpsonsworld.com/video/272041539932
37,Mr. Lisa Goes to Washington,1991-09-26,8F01,3,2,37,20.2,52098,7.7,1274,http://static-media.fxx.com/img/FX_Networks_-_FXX/305/315/MrLisaGoestoWashington.jpg,http://www.simpsonsworld.com/video/275196995796
39,Bart the Murderer,1991-10-10,8F03,3,4,39,20.8,64342,8.7,1446,http://static-media.fxx.com/img/FX_Networks_-_FXX/241/939/BarttheMurderer.jpg,http://www.simpsonsworld.com/video/288015427922
41,"Like Father, Like Clown",1991-10-24,8F05,3,6,41,20.2,45586,7.7,1262,http://static-media.fxx.com/img/FX_Networks_-_FXX/239/191/Simpsons_03_07.jpg,http://www.simpsonsworld.com/video/256874051703
44,Saturdays of Thunder,1991-11-14,8F07,3,9,44,24.7,55808,7.9,1194,http://static-media.fxx.com/img/FX_Networks_-_FXX/262/139/SaturdaysofThunder.jpg,http://www.simpsonsworld.com/video/256898115598
46,Burns Verkaufen der Kraftwerk,1991-12-05,8F09,3,11,46,21.1,55987,8.2,1291,http://static-media.fxx.com/img/FX_Networks_-_FXX/66/542/BURNS_DE_KRAFTWERK.jpg,http://www.simpsonsworld.com/video/310380099512
48,Radio Bart,1992-01-09,8F11,3,13,48,24.2,58919,8.5,1365,http://static-media.fxx.com/img/FX_Networks_-_FXX/378/791/RadioBart.jpg,http://www.simpsonsworld.com/video/272052803895
51,Bart the Lover,1992-02-13,8F16,3,16,51,20.5,53123,8.3,1272,http://static-media.fxx.com/img/FX_Networks_-_FXX/546/759/BarttheLover.jpg,http://www.simpsonsworld.com/video/272228931984
53,Separate Vocations,1992-02-27,8F15,3,18,53,23.7,61508,8.2,1201,http://static-media.fxx.com/img/FX_Networks_-_FXX/426/747/SeparateVocations.jpg,http://www.simpsonsworld.com/video/263513155607
55,Colonel Homer,1992-03-26,8F19,3,20,55,25.5,46901,7.9,1233,http://static-media.fxx.com/img/FX_Networks_-_FXX/534/47/ColonelHomer.jpg,http://www.simpsonsworld.com/video/272215619762
58,Bart's Friend Falls in Love,1992-05-07,8F22,3,23,58,19.5,48058,7.8,1160,http://static-media.fxx.com/img/FX_Networks_-_FXX/140/895/BartsFriendFallsInLove.jpg,http://www.simpsonsworld.com/video/280393283967
60,Kamp Krusty,1992-09-24,8F24,4,1,60,21.8,67081,8.4,1414,http://static-media.fxx.com/img/FX_Networks_-_FXX/987/218/Simpsons_04_02.jpg,http://www.simpsonsworld.com/video/279133251579
65,Itchy & Scratchy: The Movie,1992-11-03,9F03,4,6,65,20.1,55740,8.2,1293,http://static-media.fxx.com/img/FX_Networks_-_FXX/672/279/Simpsons_04_05.jpg,http://www.simpsonsworld.com/video/278803011830
69,Lisa's First Word,1992-12-03,9F08,4,10,69,28.6,62070,8.5,1350,http://static-media.fxx.com/img/FX_Networks_-_FXX/252/675/Simpsons_04_10.jpg,http://www.simpsonsworld.com/video/288026691837
